user_id,log_in_day,prior_minutes,new_algo,minutes,churn_prob,churn
1,3,423.7811948,1,446.0009771,0.08,1
2,3,253.0812591,1,220.0902417,0.08,0
3,3,183.3376179,1,182.1070014,0.08,0
4,2,472.0664154,1,583.0737618,0.08,0
5,3,60.73145134,0,49.2541671,0.1,0
6,2,462.944878,1,440.2153775,0.08,0
7,2,602.477479,0,594.4121911,0.1,0
8,2,367.118599,0,313.9554664,0.1,0
9,3,222.3416953,1,286.7665946,0.08,0
10,1,430.1706122,1,465.5565831,0.08,0
11,2,497.1847336,0,443.2988069,0.1,0
12,2,145.4102992,0,156.8322775,0.1,1
13,1,331.5297505,0,320.07445,0.1,0
14,2,101.3564724,1,140.8010559,0.08,0
15,3,246.6154184,1,275.9189578,0.08,0
16,1,492.4395743,0,396.2404544,0.1,0
17,3,317.2187935,0,224.5174336,0.1,0
18,3,266.4172432,0,276.0220466,0.1,0
19,1,134.1458218,0,158.1015005,0.1,1
20,1,244.5912527,0,148.9972303,0.1,0
21,1,440.8160326,1,416.6816057,0.08,0
22,1,555.16121,1,555.2750941,0.08,0
23,3,337.5929489,1,412.7892992,0.08,0
24,2,190.2570357,0,286.6380931,0.1,0
25,3,504.3355003,0,386.9277205,0.1,0
26,2,409.07262,1,415.0840509,0.08,0
27,1,430.1540878,1,527.1571726,0.08,0
28,2,453.7327048,0,469.0057339,0.1,1
29,3,470.5579078,1,494.2633135,0.08,1
30,2,520.410993,1,603.0754839,0.08,0
31,1,420.8089277,1,447.181202,0.08,0
32,3,63.78619537,1,96.96634348,0.08,0
33,3,472.5867943,1,424.7065546,0.08,0
34,1,290.9709455,0,306.4295124,0.1,0
35,3,162.7104299,1,250.4870195,0.08,0
36,2,629.0821228,0,704.3277717,0.1,0
37,1,394.5677921,0,377.3662054,0.1,0
38,3,248.8430917,1,232.9078056,0.08,0
39,1,594.6150998,0,608.9880529,0.1,0
40,1,767.0339626,0,787.6564465,0.1,1
41,2,203.171185,0,209.6592454,0.1,0
42,3,448.6366253,0,469.6428263,0.1,0
43,3,294.2709878,0,306.3173879,0.1,1
44,1,784.217738,1,813.6638274,0.08,0
45,3,492.1197839,1,547.6004527,0.08,0
46,1,490.7176788,1,543.383796,0.08,0
47,3,149.0519517,0,178.5219638,0.1,0
48,2,140.3421141,0,138.9241825,0.1,0
49,1,298.0103987,0,323.2976424,0.1,1
50,2,311.5489287,0,293.5121037,0.1,0
51,1,258.486788,1,272.6866286,0.08,0
52,1,471.3103349,0,479.2317376,0.1,0
53,3,192.8515808,1,231.4720484,0.08,0
54,1,895.6131224,1,957.1313412,0.08,0
55,2,619.949268,0,662.6927111,0.1,0
56,1,601.6559013,1,605.9333271,0.08,0
57,1,388.3015288,1,367.187757,0.08,0
58,3,703.3707906,0,701.7843914,0.1,0
59,1,444.2650327,0,463.0490993,0.1,0
60,2,392.6272561,1,366.7154699,0.08,0
61,1,113.9549243,1,191.2458646,0.08,0
62,3,518.9132511,1,490.3190475,0.08,0
63,1,489.0456387,1,540.7300752,0.08,0
64,3,96.8947401,0,17.96171976,0.1,0
65,2,398.4542669,0,343.6687536,0.1,0
66,3,515.4545785,0,601.7228143,0.1,0
67,2,416.3321344,0,399.9700541,0.1,0
68,2,460.6800527,1,460.0033044,0.08,0
69,3,511.9586961,0,466.4105662,0.1,0
70,2,216.6144708,0,224.3748205,0.1,0
71,2,350.1435844,1,347.473997,0.08,0
72,3,438.0618162,0,467.0116299,0.1,0
73,3,20.97373005,1,-7.259786459,0.08,0
74,1,739.4521931,0,708.1825895,0.1,0
75,2,184.4263633,1,116.1142468,0.08,0
76,2,453.7451447,0,364.7700939,0.1,0
77,1,535.4608101,0,493.8234291,0.1,1
78,2,281.140746,1,333.0912329,0.08,0
79,1,543.2722552,0,587.9363462,0.1,0
80,1,461.5521277,0,465.0364118,0.1,0
81,2,578.7889013,1,593.9034789,0.08,1
82,3,30.95108665,1,123.1664103,0.08,0
83,3,559.5383678,0,536.9765165,0.1,1
84,1,449.4342267,1,517.2673101,0.08,0
85,2,251.6437987,0,256.6834041,0.1,0
86,1,287.4101515,1,328.1179373,0.08,0
87,2,615.9831278,1,657.3061216,0.08,0
